# German-French translations created from the Universal dictionary at 2011-08-27T09:43:09-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Abend 	 soir 	 time 
 Abfall 	 déchets 	 material 
 Abfrage ; Erkundigung ; Frage 	 question 	 linguistics 
 Abkommen ; Vertrag 	 arrangement 	 business 
 Abnutzung 	 usure 	 abstract 
 Abstand ; Distanz ; Entfernung 	 distance 	 mathematics 
 Abteilung 	 département 	 society 
 Abteilung 	 secteur 	 mathematics 
 Abteilung ; Sektion 	 rayon 	 mathematics 
 Abwechslung ; Abänderung ; Veränderung ; Wandel ; Wechsel 	 changement 	 abstract 
 Abweichung 	 écart 	 mathematics 
 Addition 	 addition 	 mathematics 
 Adjektiv 	 adjectif 	 linguistics 
 Adresse 	 adresse 	 abstract 
 Affe 	 singe 	 animal 
 Affäre ; Geschäft ; Sache 	 occupation 	 abstract 
 Akt ; Tat 	 action 	 mathematics 
 Akteur ; Schauspieler 	 comédien 	 profession 
 Aktie 	 action 	 business 
 Aktivität 	 activité 	 mathematics 
 Alter 	 âge 	 time 
 Alternative ; Mehrfachmöglichkeit 	 alternative 	 abstract 
 Ameise 	 fourmi 	 animal 
 Andenken ; Erinnerung 	 mémoire 	 communication 
 Anfang ; Beginn 	 début 	 abstract 
 Anforderung ; Bitte 	 demande 	 communication 
 Angaben 	 données 	 communication 
 Angebot ; Antrag 	 offre 	 abstract 
 Angriff ; Anfall ; Attacke 	 attaque 	 abstract 
 Angst ; Furcht 	 peur 	 relations 
 Anklage ; Beanstandung ; Beschwerde ; Klage 	 accusation 	 society 
 Ankündigung ; Bekanntmachung ; Proklamation 	 communiqué 	 communication 
 Anmerkung ; Note ; Notiz 	 note 	 communication 
 Anruf 	 communication 	 communication 
 Anschlussstück ; Stecker 	 connecteur 	 abstract 
 Anspruch 	 recours 	 society 
 Anstrengung ; Bemühung ; Mühe ; Versuch 	 essai 	 abstract 
 Anteil ; Teil ; Einzelteil 	 partie 	 abstract 
 Antwort 	 réponse 	 communication 
 Anwendung ; Nutzung ; Verwendung 	 usage 	 linguistics 
 Apfel 	 pomme 	 food 
 Appartement ; Wohnung 	 appartement 	 society 
 April 	 avril 	 time 
 Arbeit 	 oeuvre 	 abstract 
 Arbeit 	 travail 	 abstract 
 Arbeit ; Aufgabe 	 travail 	 business 
 Arbeit ; Beruf ; Job 	 occupation 	 business 
 Arbeiter 	 employé 	 profession 
 Argument 	 argument 	 communication 
 Arm 	 bras 	 anatomy 
 Armee 	 armée 	 society 
 Aroma ; Geruch 	 odeur 	 nature 
 Art ; Gattung 	 espèce 	 abstract 
 Art ; Gattung ; Sorte 	 sorte 	 abstract 
 Art ; Weise 	 manière 	 mathematics 
 Art und Weise 	 manière 	 abstract 
 Artist 	 artiste 	 profession 
 Arzt ; Doktor 	 docteur 	 profession 
 Aspekt 	 aspect 	 abstract 
 Ast 	 branche 	 nature 
 Atem ; Atemzug ; Hauch 	 souffle 	 anatomy 
 Aufmerksamkeit 	 attention 	 communication 
 Aufschrei ; Geschrei ; Ruf ; Schrei 	 cri 	 communication 
 Aufstieg 	 ascension 	 abstract 
 Auftrag ; Befehl 	 ordre 	 society 
 Aufzug ; Fahrstuhl ; Lift 	 ascenseur 	 device 
 Auge 	 oeil 	 anatomy 
 Augenblick 	 instant 	 mathematics 
 Ausbildung 	 entraînement 	 abstract 
 Ausbildung ; Bildung 	 formation 	 education 
 Ausbruch ; Eruption 	 salve 	 abstract 
 Ausführung ; Marke 	 marque 	 abstract 
 Ausgabe 	 numéro 	 mathematics 
 Aussage ; Behauptung 	 déclaration 	 communication 
 Ausschuss ; Komitee ; Kommission 	 conseil 	 society 
 Aussprache 	 prononciation 	 linguistics 
 Auszeichnung 	 certificat 	 society 
 Auto ; Kraftwagen ; Personenwagen ; Kraftfahrzeug ; Personenkraftwagen ; Pkw ; Automobil 	 automobile 	 transport 
 Autobus ; Bus ; Omnibus 	 autocar 	 transport 
 Autorität ; Berechtigung ; Bevollmächtigung ; Ermächtigung 	 autorité 	 society 
 Baby 	 bébé 	 family 
 Backofen ; Ofen 	 four 	 device 
 Backstein ; Ziegel ; Ziegelstein 	 brique 	 house 
 Bad 	 bain 	 house 
 Ball 	 ballon 	 object 
 Bank 	 banque 	 city 
 Banknote 	 billet 	 business 
 Baseball 	 base-ball 	 sports 
 Basis ; Stützpunkt 	 base 	 society 
 Bau ; Bauwerk ; Gebäude 	 immeuble 	 city 
 Bauernhof 	 ferme 	 nature 
 Baum 	 arbre 	 house 
 Baumwolle 	 coton 	 material 
 Baumwolle 	 coton 	 material 
 Beamter 	 fonctionnaire 	 profession 
 Bedarf ; Bedürfnis 	 besoin 	 abstract 
 Behandlung 	 traitement 	 abstract 
 Behandlungsraum ; Krankenhaus 	 hôpital 	 city 
 Bein 	 jambe 	 anatomy 
 Beispiel 	 exemple 	 communication 
 Bekämpfung ; Kampf ; Schlacht 	 lutte 	 abstract 
 Belegschaft ; Personal ; Stab 	 personnel 	 society 
 Belohnung 	 récompense 	 society 
 Benehmen ; Verhalten ; Aufführung ; Haltung 	 conduite 	 abstract 
 Benutzer 	 utilisateur 	 society 
 Bereich ; Region 	 région 	 nature 
 Berg ; Gebirge 	 montagne 	 nature 
 Bergwerk 	 mine 	 object 
 Bericht 	 rapport 	 abstract 
 Berührung 	 toucher 	 abstract 
 Beschluss ; Entscheidung ; Entschluss ; Schlussfolgerung 	 décision 	 communication 
 Beschädigung ; Schaden 	 sinistre 	 transport 
 Besitzer 	 possesseur 	 business 
 Besteuerung ; Steuer 	 contribution 	 business 
 Bestimmung 	 destination 	 abstract 
 Bestrafung ; Strafe 	 châtiment 	 society 
 Betrieb 	 fonctionnement 	 mathematics 
 Bett 	 lit 	 house 
 Beutel 	 poche 	 object 
 Bevölkerung 	 population 	 society 
 Bewegung 	 mouvement 	 physics 
 Bewegung 	 mouvement 	 physics 
 Beweis 	 évidence 	 abstract 
 Bezahlung ; Zahlung 	 paiement 	 business 
 Biene ; Honigbiene 	 abeille 	 animal 
 Bier 	 bière 	 food 
 Bild 	 image 	 art 
 Bildung ; Unterrichtswesen ; Pädagogik 	 enseignement 	 education 
 Biologie 	 biologie 	 science 
 Biss 	 morsure 	 medicine 
 Blatt ; Klinge 	 voilure 	 object 
 Blatt ; Laub ; Laubwerk ; Blätter 	 feuille 	 nature 
 Blei 	 plomb 	 material 
 Bleistift 	 crayon 	 object 
 Blick 	 regard 	 communication 
 Blume 	 fleur 	 nature 
 Blut 	 sang 	 anatomy 
 Boden 	 sol 	 material 
 Boden ; Erdboden ; Erde 	 terre 	 nature 
 Boot 	 bateau 	 object 
 Brand 	 feu 	 nature 
 Brett 	 panneau 	 object 
 Brief 	 lettre 	 object 
 Briefumschlag ; Umschlag ; Kuvert 	 enveloppe 	 object 
 Britannien 	 Britain 	 country 
 Brot 	 pain 	 food 
 Bruder 	 frère 	 family 
 Brunnen 	 puits 	 object 
 Brunnen ; Quelle 	 source 	 nature 
 Brust 	 poitrine 	 anatomy 
 Brust 	 poitrine 	 anatomy 
 Brücke 	 pont 	 object 
 Buch 	 livre 	 object 
 Burg 	 château 	 city 
 Butter 	 beurre 	 food 
 Bär 	 ours 	 animal 
 Bücherei 	 bibliothèque 	 city 
 Bühne 	 scène 	 object 
 Bündel ; Packung ; Paket 	 paquet 	 object 
 Büro 	 bureau 	 business 
 Bürste 	 brosse 	 object 
 Chance ; Gelegenheit 	 occasion 	 abstract 
 Charakter 	 caractère 	 abstract 
 Charakter 	 caractère 	 abstract 
 Charakteristik ; Eigenschaft ; Merkmal 	 caractéristique 	 abstract 
 Chef 	 chef 	 society 
 Chemie 	 chimie 	 science 
 Chemikalie 	 chimique 	 material 
 China 	 Chine 	 country 
 Chinesisch 	 chinois 	 language 
