# German-Esperanto translations created from the Universal dictionary at 2011-08-27T09:43:20-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Abend 	 vespero 	 time 
 Abfall 	 rubo 	 material 
 Abfrage ; Erkundigung ; Frage 	 demando 	 linguistics 
 Abkommen ; Vertrag 	 interkonsento 	 business 
 Abstand ; Distanz ; Entfernung 	 distanco 	 mathematics 
 Abteilung 	 divizio 	 mathematics 
 Abteilung 	 sekcio 	 society 
 Abteilung ; Sektion 	 sekcio 	 mathematics 
 Abwechslung ; Abänderung ; Veränderung ; Wandel ; Wechsel 	 ŝanĝo 	 abstract 
 Abweichung 	 devio 	 mathematics 
 Addition 	 adicio 	 mathematics 
 Adjektiv 	 adjektivo 	 linguistics 
 Adresse 	 adreso 	 abstract 
 Affe 	 simio 	 animal 
 Affäre ; Geschäft ; Sache 	 aĵo 	 abstract 
 Akt ; Tat 	 faro 	 mathematics 
 Akteur ; Schauspieler 	 aktoro 	 profession 
 Aktie 	 akcio 	 business 
 Aktivität 	 ago 	 mathematics 
 Alter 	 aĝo 	 time 
 Alternative ; Mehrfachmöglichkeit 	 alternativo 	 abstract 
 Ameise 	 formiko 	 animal 
 Andenken ; Erinnerung 	 memoro 	 communication 
 Anfang ; Beginn 	 komenco 	 abstract 
 Anforderung ; Bitte 	 peto 	 communication 
 Angaben 	 datumoj 	 communication 
 Angebot ; Antrag 	 oferto 	 abstract 
 Angriff ; Anfall ; Attacke 	 atako 	 abstract 
 Angst ; Furcht 	 timo 	 relations 
 Anklage ; Beanstandung ; Beschwerde ; Klage 	 akuzo 	 society 
 Ankündigung ; Bekanntmachung ; Proklamation 	 proklamo 	 communication 
 Anmerkung ; Note ; Notiz 	 noto 	 communication 
 Anstrengung ; Bemühung ; Mühe ; Versuch 	 peno 	 abstract 
 Anteil ; Teil ; Einzelteil 	 parto 	 abstract 
 Antwort 	 respondo 	 communication 
 Anwendung ; Nutzung ; Verwendung 	 uzo 	 linguistics 
 Apfel 	 pomo 	 food 
 Appartement ; Wohnung 	 apartamento 	 society 
 April 	 aprilo 	 time 
 Arbeit 	 laboro 	 abstract 
 Arbeit 	 laboro 	 abstract 
 Arbeit ; Aufgabe 	 tasko 	 business 
 Arbeit ; Beruf ; Job 	 okupo 	 business 
 Arbeiter 	 laboristo 	 profession 
 Argument 	 argumento 	 communication 
 Arm 	 brako 	 anatomy 
 Armee 	 armeo 	 society 
 Aroma ; Geruch 	 odoro 	 nature 
 Art ; Gattung 	 speco 	 abstract 
 Art ; Gattung ; Sorte 	 speco 	 abstract 
 Art ; Weise 	 maniero 	 mathematics 
 Artist 	 artisto 	 profession 
 Arzt ; Doktor 	 doktoro 	 profession 
 Aspekt 	 aspekto 	 abstract 
 Ast 	 brancxo 	 nature 
 Aufmerksamkeit 	 atento 	 communication 
 Aufschrei ; Geschrei ; Ruf ; Schrei 	 voko 	 communication 
 Aufstieg 	 ascendo 	 abstract 
 Auftrag ; Befehl 	 mendo 	 society 
 Aufzug ; Fahrstuhl ; Lift 	 lifto 	 device 
 Auge 	 okulo 	 anatomy 
 Augenblick 	 momento 	 mathematics 
 Ausbildung 	 trejnado 	 abstract 
 Ausbruch ; Eruption 	 eksplodo 	 abstract 
 Aussage ; Behauptung 	 aserto 	 communication 
 Ausschuss ; Komitee ; Kommission 	 komisiono 	 society 
 Aussprache 	 prononco 	 linguistics 
 Auto ; Kraftwagen ; Personenwagen ; Kraftfahrzeug ; Personenkraftwagen ; Pkw ; Automobil 	 aŭtomobilo 	 transport 
 Autobus ; Bus ; Omnibus 	 aŭtobuso 	 transport 
 Autorität ; Berechtigung ; Bevollmächtigung ; Ermächtigung 	 aŭtoritato 	 society 
 Baby 	 infaneto 	 family 
 Backofen ; Ofen 	 kuirforno 	 device 
 Backstein ; Ziegel ; Ziegelstein 	 briko 	 house 
 Bad 	 bano 	 house 
 Ball 	 pilko 	 object 
 Bank 	 banko 	 city 
 Banknote 	 monbileto 	 business 
 Baseball 	 basbalo 	 sports 
 Basis ; Stützpunkt 	 bazo 	 society 
 Bau ; Bauwerk ; Gebäude 	 domo 	 city 
 Bauernhof 	 farmbieno 	 nature 
 Baum 	 arbo 	 house 
 Baumwolle 	 kotono 	 material 
 Beamter 	 oficisto 	 profession 
 Bedarf ; Bedürfnis 	 bezono 	 abstract 
 Behandlung 	 kuracado 	 abstract 
 Behandlungsraum ; Krankenhaus 	 malsanulejo 	 city 
 Bein 	 kruro 	 anatomy 
 Beispiel 	 ekzemplo 	 communication 
 Bekämpfung ; Kampf ; Schlacht 	 batalado 	 abstract 
 Belegschaft ; Personal ; Stab 	 bastono 	 society 
 Belohnung 	 rekompenco 	 society 
 Benehmen ; Verhalten ; Aufführung ; Haltung 	 konduto 	 abstract 
 Benutzer 	 uzanto 	 society 
 Bereich ; Region 	 regiono 	 nature 
 Berg ; Gebirge 	 monto 	 nature 
 Bergwerk 	 minejo 	 object 
 Bericht 	 raporto 	 abstract 
 Berührung 	 tusxo 	 abstract 
 Beschluss ; Entscheidung ; Entschluss ; Schlussfolgerung 	 decido 	 communication 
 Beschädigung ; Schaden 	 damagxo 	 transport 
 Besitzer 	 posedanto 	 business 
 Besteuerung ; Steuer 	 impostigo 	 business 
 Bestimmung 	 celo 	 abstract 
 Bestrafung ; Strafe 	 puno 	 society 
 Betrieb 	 funkciado 	 mathematics 
 Bett 	 lito 	 house 
 Beutel 	 saketo 	 object 
 Bevölkerung 	 logxantaro 	 society 
 Bewegung 	 movado 	 physics 
 Bewegung 	 movo 	 physics 
 Biene ; Honigbiene 	 abelo 	 animal 
 Bier 	 biero 	 food 
 Bild 	 bildo 	 art 
 Bildung ; Unterrichtswesen ; Pädagogik 	 instruado 	 education 
 Biologie 	 biologio 	 science 
 Blatt ; Klinge 	 klingo 	 object 
 Blatt ; Laub ; Laubwerk ; Blätter 	 folio 	 nature 
 Blei 	 plumbo 	 material 
 Bleistift 	 krajono 	 object 
 Blick 	 rigardo 	 communication 
 Blume 	 floro 	 nature 
 Blut 	 sango 	 anatomy 
 Boden 	 tero 	 material 
 Boden ; Erdboden ; Erde 	 grundo 	 nature 
 Boot 	 boato 	 object 
 Brief 	 litero 	 object 
 Briefumschlag ; Umschlag ; Kuvert 	 koverto 	 object 
 Britannien 	 Britio 	 country 
 Brot 	 pano 	 food 
 Bruder 	 frato 	 family 
 Brunnen 	 puto 	 object 
 Brunnen ; Quelle 	 fonto 	 nature 
 Brunst ; Brunft 	 seksardo 	 nature 
 Brust 	 brusto 	 anatomy 
 Brust 	 brusto 	 anatomy 
 Brücke 	 ponto 	 object 
 Buch 	 libro 	 object 
 Burg 	 kastelo 	 city 
 Butter 	 butero 	 food 
 Bär 	 urso 	 animal 
 Bücherei 	 biblioteko 	 city 
 Bühne 	 scenejo 	 object 
 Bündel ; Packung ; Paket 	 pako 	 object 
 Büro 	 oficejo 	 business 
 Bürste 	 broso 	 object 
 Chance ; Gelegenheit 	 okazo 	 abstract 
 Charakter 	 karaktero 	 abstract 
 Charakter 	 personeco 	 abstract 
 Charakteristik ; Eigenschaft ; Merkmal 	 atributo 	 abstract 
 Chef 	 cxefo 	 society 
 Chemie 	 kemio 	 science 
 Chemikalie 	 kemiaĵo 	 material 
 Club ; Klub ; Verein ; Gilde ; Innung ; Zunft 	 gildo 	 society 
 Computer ; Rechner 	 komputero 	 device 
 Dach 	 tegmento 	 house 
 Dampf 	 vaporo 	 physics 
 Dasein ; Existenz ; Sein 	 ekzistado 	 society 
 Datum 	 dato 	 time 
 Daumen 	 dikfingro 	 anatomy 
 Deckel ; Hülle ; Mantel ; Umschlag 	 kovrilo 	 object 
 Demokratie ; Republik 	 respubliko 	 society 
 Deutsch ; Deutsche 	 Germana lingvo 	 linguistics 
 Deutschland 	 Germanio 	 country 
 Dezember 	 decembro 	 time 
 Diele ; Halle ; Vestibül ; Vorhalle ; Vorraum 	 antauxcxambro 	 house 
 Dienst ; Bedienung ; Dienstleistung 	 servado 	 sports 
 Ding ; Sache 	 ajxo 	 object 
 Direktor ; Verwalter ; leitender Verwaltungsangestellter 	 direktoro 	 profession 
 Diskussion 	 diskuto 	 communication 
 Disziplin 	 disciplino 	 linguistics 
 Diversität ; Verschiedenheit ; Vielfalt 	 diverseco 	 art 
 Domizil ; Wohnsitz ; Wohnung 	 domo 	 house 
 Donnerstag 	 jxauxdo 	 time 
 Dorf 	 vilagxo 	 society 
 Dorf 	 vilaĝo 	 society 
 Draht 	 drato 	 object 
 Druck 	 premo 	 nature 
 Dunst ; Qualm ; Rauch 	 fumo 	 nature 
 Dusche 	 duŝo 	 house 
 Ebene 	 ebenejo 	 nature 
 Edelstein ; Juwel ; Kleinod 	 juvelo 	 object 
